timestamp,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
2015/7/1 0:00,413,20,20,69,20.5,1,0,0,1
2015/7/1 1:00,218,20,20,71,17.5,7,0,0,1
2015/7/1 2:00,138,20,20,71,11,7,0,0,1
2015/7/1 3:00,74,20.5,20.5,66.5,16,1,0,0,1
2015/7/1 4:00,71,20,20,69,12,1,0,0,1
2015/7/1 5:00,168,20,20,75.5,7.5,7,0,0,1
2015/7/1 6:00,883,20.5,20.5,75.5,7,1,0,0,1
2015/7/1 7:00,2736,22,22,69,12,1,0,0,1
2015/7/1 8:00,4779,24.5,24.5,55.5,17,1,0,0,1
2015/7/1 9:00,2543,27,27,48,20,1,0,0,1
2015/7/1 10:00,1299,30,30,43,20,1,0,0,1
2015/7/1 11:00,1374,33,33,34,22,1,0,0,1
2015/7/1 12:00,1654,32,32,36,19.5,1,0,0,1
2015/7/1 13:00,1753,31.5,31.5,38,21,1,0,0,1
2015/7/1 14:00,1710,33,33,34,18,1,0,0,1
2015/7/1 15:00,1904,33.5,33.5,34,22,1,0,0,1
2015/7/1 16:00,2575,33.5,33.5,35,21,1,0,0,1
2015/7/1 17:00,4617,34,34,33,20.5,1,0,0,1
2015/7/1 18:00,4604,34,34,33,20.5,1,0,0,1
2015/7/1 19:00,2883,33.5,33.5,36,14,1,0,0,1
2015/7/1 20:00,2061,31.5,31,36.5,17.5,1,0,0,1
2015/7/1 21:00,1859,29.5,29.5,45.5,21.5,1,0,0,1
2015/7/1 22:00,1376,27.5,28.5,54.5,18,1,0,0,1
2015/7/1 23:00,949,26,27,61,19.5,1,0,0,1
2015/7/2 0:00,140,24.5,24.5,57,20.5,1,0,0,1
2015/7/2 1:00,48,23.5,23.5,59,17,1,0,0,1
2015/7/2 2:00,100,21.5,21.5,67,21,1,0,0,1
2015/7/2 3:00,114,19.5,19.5,75.5,18,1,0,0,1
2015/7/2 4:00,105,18.5,18.5,83,18.5,2,0,0,1
2015/7/2 5:00,158,19,19,83,13,2,0,0,1
2015/7/2 6:00,779,19.5,19.5,80.5,13,2,0,0,1
2015/7/2 7:00,2572,20.5,20.5,73.5,12,1,0,0,1
2015/7/2 8:00,4641,22,22,65,7,1,0,0,1
2015/7/2 9:00,2469,23,23,59,15,1,0,0,1
2015/7/2 10:00,1295,22,22,63,13,1,0,0,1
2015/7/2 11:00,918,22,22,67,8.5,7,0,0,1
2015/7/2 12:00,1510,24,24,61,6.5,2,0,0,1
2015/7/2 13:00,1614,24,24,59,12,1,0,0,1
2015/7/2 14:00,1594,25.5,25.5,52.5,9,2,0,0,1
2015/7/2 15:00,1759,26,26,54,13,1,0,0,1
2015/7/2 16:00,2412,26,26,51,18.5,1,0,0,1
2015/7/2 17:00,4193,24.5,24.5,61,18.5,7,0,0,1
2015/7/2 18:00,4084,25,25,57,20.5,2,0,0,1
2015/7/2 19:00,2605,22.5,22.5,63,23,2,0,0,1
2015/7/2 20:00,1888,21.5,21.5,62.5,17,1,0,0,1
2015/7/2 21:00,1453,21,21,64,19,1,0,0,1
2015/7/2 22:00,1026,20.5,20.5,64,18.5,1,0,0,1
2015/7/2 23:00,785,19,19,68,13,1,0,0,1
2015/7/3 0:00,159,18,18,73,13,1,0,0,1
2015/7/3 1:00,279,17.5,17.5,66,10,1,0,0,1
2015/7/3 2:00,173,17,17,68,6.5,1,0,0,1
2015/7/3 3:00,121,16,16,77,5,1,0,0,1
2015/7/3 4:00,106,16,16,77,6,1,0,0,1
2015/7/3 5:00,157,15.5,15.5,79.5,6,1,0,0,1
2015/7/3 6:00,668,16.5,16.5,72.5,11,1,0,0,1
2015/7/3 7:00,2226,18,18,62,14,1,0,0,1
2015/7/3 8:00,4412,19.5,19.5,54.5,13,1,0,0,1
2015/7/3 9:00,2515,20,20,53,15,1,0,0,1
2015/7/3 10:00,1453,21.5,21,48.5,14,1,0,0,1
2015/7/3 11:00,1545,22.5,22,45.5,13,1,0,0,1
2015/7/3 12:00,1911,24,24,45.5,16,1,0,0,1
2015/7/3 13:00,1960,24,24,45.5,18.5,1,0,0,1
2015/7/3 14:00,2000,24.5,24.5,48.5,24,1,0,0,1
2015/7/3 15:00,2080,23,23,55,28,1,0,0,1
2015/7/3 16:00,2757,22.5,22.5,59,29,1,0,0,1
2015/7/3 17:00,4191,22,22,63,27,1,0,0,1
2015/7/3 18:00,3656,22,22,61,26,1,0,0,1
2015/7/3 19:00,2388,21,21,66.5,30.5,1,0,0,1
2015/7/3 20:00,1787,20,20,71,28,1,0,0,1
2015/7/3 21:00,1335,19.5,19.5,75.5,23,1,0,0,1
2015/7/3 22:00,1020,19,19,78,18.5,1,0,0,1
2015/7/3 23:00,712,18.5,18.5,83,24,7,0,0,1
2015/7/4 0:00,376,18,18,91,28.5,7,0,1,1
2015/7/4 1:00,375,18,18,94,16.5,7,0,1,1
2015/7/4 2:00,278,19,19,91,8,2,0,1,1
2015/7/4 3:00,202,19,19,94,6,1,0,1,1
2015/7/4 4:00,148,19,19,94,4,1,0,1,1
2015/7/4 5:00,114,19,19,94,0,1,0,1,1
2015/7/4 6:00,150,20,20,91,3,1,0,1,1
2015/7/4 7:00,353,20.5,20.5,85.5,15.5,1,0,1,1
2015/7/4 8:00,701,21.5,21.5,78,24,2,0,1,1
2015/7/4 9:00,1178,23.5,23.5,59.5,26,1,0,1,1
2015/7/4 10:00,1823,24,24,57,28,2,0,1,1
2015/7/4 11:00,2381,25,25,54,22,2,0,1,1
2015/7/4 12:00,2848,26,26,51,19,1,0,1,1
2015/7/4 13:00,3184,27,27,46.5,21,2,0,1,1
2015/7/4 14:00,3272,27,27,46.5,21.5,1,0,1,1
2015/7/4 15:00,3219,26.5,26.5,46.5,21,1,0,1,1
2015/7/4 16:00,3236,26.5,26.5,45,24,1,0,1,1
2015/7/4 17:00,3391,26,26,45,22,1,0,1,1
2015/7/4 18:00,2876,25,25,45.5,23,1,0,1,1
2015/7/4 19:00,2429,23.5,23.5,47,22,1,0,1,1
2015/7/4 20:00,2061,21.5,21.5,51.5,18.5,1,0,1,1
2015/7/4 21:00,1450,20,20,54.5,17,1,0,1,1
2015/7/4 22:00,1180,19,19,62,15,1,0,1,1
2015/7/4 23:00,1058,19,19,64,13,1,0,1,1
2015/7/5 0:00,907,19,19,64,12,1,0,1,1
2015/7/5 1:00,670,18.5,18.5,66,10,1,0,1,1
2015/7/5 2:00,531,17.5,17.5,66,11,1,0,1,1
2015/7/5 3:00,372,17,17,68,9,2,0,1,1
2015/7/5 4:00,217,17,17,68,9,2,0,1,1
2015/7/5 5:00,120,17,17,73,9,1,0,1,1
2015/7/5 6:00,236,17,17,73,10,1,0,1,1
2015/7/5 7:00,260,18,18,68,5.5,1,0,1,1
2015/7/5 8:00,303,17.5,17.5,72.5,11,7,0,1,1
2015/7/5 9:00,465,16,16,83,9,7,0,1,1
2015/7/5 10:00,745,16,16,83,7,7,0,1,1
2015/7/5 11:00,1345,16,16,83,7,7,0,1,1
2015/7/5 12:00,1781,17,17,80,13,2,0,1,1
2015/7/5 13:00,2193,19.5,19.5,68.5,17,2,0,1,1
2015/7/5 14:00,2550,21.5,21.5,55,12,2,0,1,1
2015/7/5 15:00,2909,23,23,48.5,17,2,0,1,1
2015/7/5 16:00,2990,22.5,22.5,47,21,2,0,1,1
2015/7/5 17:00,2771,22,21,47,26,2,0,1,1
2015/7/5 18:00,2524,20.5,20.5,56.5,21.5,2,0,1,1
2015/7/5 19:00,1956,20.5,20.5,53,20.5,2,0,1,1
2015/7/5 20:00,1506,20,20,49,20,1,0,1,1
2015/7/5 21:00,1021,19,19,56,19.5,1,0,1,1
2015/7/5 22:00,755,18,18,60,19.5,1,0,1,1
2015/7/5 23:00,589,17.5,17.5,64,13,1,0,1,1
2015/7/6 0:00,401,17,17,68,16,1,0,0,1
2015/7/6 1:00,167,16,16,77,18,1,0,0,1
2015/7/6 2:00,94,16,16,77,14,1,0,0,1
2015/7/6 3:00,70,15,15,79.5,11,1,0,0,1
2015/7/6 4:00,56,14.5,14.5,79.5,11,1,0,0,1
2015/7/6 5:00,158,14,14,82,13,1,0,0,1
2015/7/6 6:00,746,14.5,14.5,79.5,11,1,0,0,1
2015/7/6 7:00,2364,16.5,16.5,70,11,1,0,0,1
2015/7/6 8:00,4549,17.5,17.5,64,13,2,0,0,1
2015/7/6 9:00,2251,19,19,54,18,3,0,0,1
2015/7/6 10:00,1259,19.5,19.5,50.5,21,2,0,0,1
2015/7/6 11:00,1272,20.5,20.5,47.5,17,2,0,0,1
2015/7/6 12:00,1536,21.5,21,47,20.5,3,0,0,1
2015/7/6 13:00,1619,22,21,47,17,3,0,0,1
2015/7/6 14:00,1482,22.5,21.5,42.5,18,2,0,0,1
2015/7/6 15:00,1813,23,22.5,42.5,20,2,0,0,1
2015/7/6 16:00,2469,23,22,41,19.5,1,0,0,1
2015/7/6 17:00,4501,23,22,41,18,1,0,0,1
2015/7/6 18:00,4470,22.5,22,45.5,18.5,1,0,0,1
2015/7/6 19:00,2845,21.5,21,48.5,18,1,0,0,1
2015/7/6 20:00,1839,20.5,20.5,51.5,16,1,0,0,1
2015/7/6 21:00,1270,19.5,19.5,54.5,13,1,0,0,1
2015/7/6 22:00,800,19,19,60,11,1,0,0,1
2015/7/6 23:00,589,17.5,17.5,66,8,1,0,0,1
2015/7/7 0:00,322,17,17,64,6.5,1,0,0,1
2015/7/7 1:00,187,17,17,68,5,1,0,0,1
